CTE	CTE_PREV	CTE_SUM	KP	KI	KD	P_ERROR	I_ERROR	D_ERROR
0.471200	0.471200	102.919200	0.200000	0.000400	0.000000	0.094240	0.041168	-0.000000
0.465400	0.465400	103.384600	0.200000	0.000400	0.000000	0.093080	0.041354	-0.000000
0.459900	0.459900	103.844500	0.200000	0.000400	0.000000	0.091980	0.041538	-0.000000
0.454900	0.454900	104.299400	0.200000	0.000400	0.000000	0.090980	0.041720	-0.000000
0.454900	0.454900	104.754300	0.200000	0.000400	0.000000	0.090980	0.041902	0.000000
0.450500	0.450500	105.204800	0.200000	0.000400	0.000000	0.090100	0.042082	-0.000000
0.446900	0.446900	105.651700	0.200000	0.000400	0.000000	0.089380	0.042261	-0.000000
0.444200	0.444200	106.095900	0.200000	0.000400	0.000000	0.088840	0.042438	-0.000000
0.442700	0.442700	106.538600	0.200000	0.000400	0.000000	0.088540	0.042615	-0.000000
0.432000	0.432000	106.970600	0.200000	0.000400	0.000000	0.086400	0.042788	-0.000000
0.425600	0.425600	107.396200	0.200000	0.000400	0.000000	0.085120	0.042958	-0.000000
0.418100	0.418100	107.814300	0.200000	0.000400	0.000000	0.083620	0.043126	-0.000000
0.410900	0.410900	108.225200	0.200000	0.000400	0.000000	0.082180	0.043290	-0.000000
0.404000	0.404000	108.629200	0.200000	0.000400	0.000000	0.080800	0.043452	-0.000000
0.361000	0.361000	108.990200	0.200000	0.000400	0.000000	0.072200	0.043596	-0.000000
0.355300	0.355300	109.345500	0.200000	0.000400	0.000000	0.071060	0.043738	-0.000000
0.349600	0.349600	109.695100	0.200000	0.000400	0.000000	0.069920	0.043878	-0.000000
0.343900	0.343900	110.039000	0.200000	0.000400	0.000000	0.068780	0.044016	-0.000000
0.338200	0.338200	110.377200	0.200000	0.000400	0.000000	0.067640	0.044151	-0.000000
0.332500	0.332500	110.709700	0.200000	0.000400	0.000000	0.066500	0.044284	-0.000000
0.326800	0.326800	111.036500	0.200000	0.000400	0.000000	0.065360	0.044415	-0.000000
0.320900	0.320900	111.357400	0.200000	0.000400	0.000000	0.064180	0.044543	-0.000000
0.315000	0.315000	111.672400	0.200000	0.000400	0.000000	0.063000	0.044669	-0.000000
0.309000	0.309000	111.981400	0.200000	0.000400	0.000000	0.061800	0.044793	-0.000000
0.302800	0.302800	112.284200	0.200000	0.000400	0.000000	0.060560	0.044914	-0.000000
0.296600	0.296600	112.580800	0.200000	0.000400	0.000000	0.059320	0.045032	-0.000000
0.290200	0.290200	112.871000	0.200000	0.000400	0.000000	0.058040	0.045148	-0.000000
0.277200	0.277200	113.148200	0.200000	0.000400	0.000000	0.055440	0.045259	-0.000000
0.270600	0.270600	113.418800	0.200000	0.000400	0.000000	0.054120	0.045368	-0.000000
0.263800	0.263800	113.682600	0.200000	0.000400	0.000000	0.052760	0.045473	-0.000000
0.250000	0.250000	113.932600	0.200000	0.000400	0.000000	0.050000	0.045573	-0.000000
0.242900	0.242900	114.175500	0.200000	0.000400	0.000000	0.048580	0.045670	-0.000000
0.235700	0.235700	114.411200	0.200000	0.000400	0.000000	0.047140	0.045764	-0.000000
0.228500	0.228500	114.639700	0.200000	0.000400	0.000000	0.045700	0.045856	-0.000000
0.221100	0.221100	114.860800	0.200000	0.000400	0.000000	0.044220	0.045944	-0.000000
0.213600	0.213600	115.074400	0.200000	0.000400	0.000000	0.042720	0.046030	-0.000000
0.206100	0.206100	115.280500	0.200000	0.000400	0.000000	0.041220	0.046112	-0.000000
0.198400	0.198400	115.478900	0.200000	0.000400	0.000000	0.039680	0.046192	-0.000000
0.190700	0.190700	115.669600	0.200000	0.000400	0.000000	0.038140	0.046268	-0.000000
0.182800	0.182800	115.852400	0.200000	0.000400	0.000000	0.036560	0.046341	-0.000000
0.174900	0.174900	116.027300	0.200000	0.000400	0.000000	0.034980	0.046411	-0.000000
0.166800	0.166800	116.194100	0.200000	0.000400	0.000000	0.033360	0.046478	-0.000000
0.158700	0.158700	116.352800	0.200000	0.000400	0.000000	0.031740	0.046541	-0.000000
0.150500	0.150500	116.503300	0.200000	0.000400	0.000000	0.030100	0.046601	-0.000000
0.142200	0.142200	116.645500	0.200000	0.000400	0.000000	0.028440	0.046658	-0.000000
0.133800	0.133800	116.779300	0.200000	0.000400	0.000000	0.026760	0.046712	-0.000000
0.125300	0.125300	116.904600	0.200000	0.000400	0.000000	0.025060	0.046762	-0.000000
0.116700	0.116700	117.021300	0.200000	0.000400	0.000000	0.023340	0.046809	-0.000000
0.108100	0.108100	117.129400	0.200000	0.000400	0.000000	0.021620	0.046852	-0.000000
0.099300	0.099300	117.228700	0.200000	0.000400	0.000000	0.019860	0.046891	-0.000000
0.090500	0.090500	117.319200	0.200000	0.000400	0.000000	0.018100	0.046928	-0.000000
0.081600	0.081600	117.400800	0.200000	0.000400	0.000000	0.016320	0.046960	-0.000000
0.072600	0.072600	117.473400	0.200000	0.000400	0.000000	0.014520	0.046989	-0.000000
0.072600	0.072600	117.546000	0.200000	0.000400	0.000000	0.014520	0.047018	0.000000
0.063500	0.063500	117.609500	0.200000	0.000400	0.000000	0.012700	0.047044	-0.000000
0.045200	0.045200	117.654700	0.200000	0.000400	0.000000	0.009040	0.047062	-0.000000
0.035900	0.035900	117.690600	0.200000	0.000400	0.000000	0.007180	0.047076	-0.000000
0.026500	0.026500	117.717100	0.200000	0.000400	0.000000	0.005300	0.047087	-0.000000
0.017100	0.017100	117.734200	0.200000	0.000400	0.000000	0.003420	0.047094	-0.000000
